Ticker
AAPL
MSFT
GOOGL
AMZN
JNJ
XOM
JPM
WFC
PG
GE
IBM
CVX
PFE
KO
MRK
T
VZ
INTC
CSCO
PEP
ORCL
DIS
MCD
HD
BA
MMM
CAT
UNH
WMT
C
BAC
GS
AXP
USB
LOW
COST
TGT
UPS
